Symbol,Name,Sector
MMM,3M Company,Industrials
AOS,A.O. Smith Corp,Industrials
ABT,Abbott Laboratories,HealthCare
ABBV,AbbVie Inc.,HealthCare
ACN,Accenture plc,InformationTechnology
ATVI,Activision Blizzard,InformationTechnology
AYI,Acuity Brands Inc,Industrials
ADBE,Adobe Systems Inc,InformationTechnology
AAP,Advance Auto Parts,ConsumerDiscretionary
AMD,Advanced Micro Devices Inc,InformationTechnology
AES,AES Corp,Utilities
AET,Aetna Inc,HealthCare
AMG,Affiliated Managers Group Inc,Financials
AFL,AFLAC Inc,Financials
A,Agilent Technologies Inc,HealthCare
APD,Air Products & Chemicals Inc,Materials
AKAM,Akamai Technologies Inc,InformationTechnology
ALK,Alaska Air Group Inc,Industrials
ALB,Albemarle Corp,Materials
ARE,Alexandria RealEstate Equities Inc,RealEstate
ALXN,Alexion Pharmaceuticals,HealthCare
ALGN,Align Technology,HealthCare
ALLE,Allegion,Industrials
AGN,"Allergan, Plc",HealthCare
ADS,Alliance Data Systems,InformationTechnology
LNT,Alliant Energy Corp,Utilities
ALL,Allstate Corp,Financials
GOOGL,Alphabet Inc Class A,InformationTechnology
GOOG,Alphabet Inc Class C,InformationTechnology
MO,Altria Group Inc,ConsumerStaples
AMZN,Amazon.com Inc.,ConsumerDiscretionary
AEE,Ameren Corp,Utilities
AAL,American Airlines Group,Industrials
AEP,American Electric Power,Utilities
AXP,American Express Co,Financials
AIG,"American International Group, Inc.",Financials
AMT,American Tower Corp A,RealEstate
AWK,American Water Works Company Inc,Utilities
AMP,Ameriprise Financial,Financials
ABC,AmerisourceBergen Corp,HealthCare
AME,AMETEK Inc.,Industrials
AMGN,Amgen Inc.,HealthCare
APH,Amphenol Corp,InformationTechnology
APC,Anadarko Petroleum Corp,Energy
ADI,"Analog Devices, Inc.",InformationTechnology
ANDV,Andeavor,Energy
ANSS,ANSYS,InformationTechnology
ANTM,Anthem Inc.,HealthCare
AON,Aon plc,Financials
APA,Apache Corporation,Energy
AIV,Apartment Investment & Management,RealEstate
AAPL,Apple Inc.,InformationTechnology
AMAT,Applied Materials Inc.,InformationTechnology
APTV,Aptiv Plc,ConsumerDiscretionary
ADM,Archer-Daniels-Midland Co,ConsumerStaples
